Summary stage 2000 (1998+)	Sex	Year of diagnosis	Age recode with <1 year olds	Age-Adjusted Rate	Count	Population	Std Pop
Localized	Female	2004	70-74 years	77.0	933	1212040	8725574
Localized	Female	2004	75-79 years	102.0	1127	1104912	7414559
Localized	Female	2004	80-84 years	130.5	1149	880359	4900234
Localized	Female	2004	85+ years	119.1	955	801609	4259173
Localized	Female	2005	00 years	0.0	0	555029	3794901
Localized	Female	2005	01-04 years	0.0	0	2195086	15191619
Localized	Female	2005	05-09 years	0.0	0	2652390	19919840
Localized	Female	2005	10-14 years	0.0	1	2930377	20056779
Localized	Female	2005	15-19 years	0.2	5	2851892	19819518
Localized	Female	2005	20-24 years	0.2	6	2770261	18257225
Localized	Female	2005	25-29 years	0.6	17	2732159	17722067
Localized	Female	2005	30-34 years	1.5	41	2773631	19511370
Localized	Female	2005	35-39 years	2.6	76	2933283	22179956
Localized	Female	2005	40-44 years	5.4	170	3137646	22479229
Localized	Female	2005	45-49 years	9.1	280	3060955	19805793
Localized	Female	2005	50-54 years	21.1	576	2727068	17224359
Localized	Female	2005	55-59 years	27.4	649	2370116	13307234
Localized	Female	2005	60-64 years	38.9	680	1748116	10654272
Localized	Female	2005	65-69 years	54.6	747	1367622	9409940
Localized	Female	2005	70-74 years	78.8	925	1173159	8725574
Localized	Female	2005	75-79 years	98.7	1051	1065371	7414559
Localized	Female	2005	80-84 years	115.5	1002	867643	4900234
Localized	Female	2005	85+ years	129.9	1048	806910	4259173
Localized	Female	2006	00 years	0.0	0	567144	3794901
Localized	Female	2006	01-04 years	0.0	0	2242688	15191619
Localized	Female	2006	05-09 years	0.0	0	2723493	19919840
Localized	Female	2006	10-14 years	0.0	1	2970163	20056779
Localized	Female	2006	15-19 years	0.1	3	2984788	19819518
Localized	Female	2006	20-24 years	0.5	13	2840625	18257225
Localized	Female	2006	25-29 years	0.5	13	2879323	17722067
Localized	Female	2006	30-34 years	1.3	36	2769626	19511370
Localized	Female	2006	35-39 years	2.2	67	3018805	22179956
Localized	Female	2006	40-44 years	5.5	173	3160163	22479229
Localized	Female	2006	45-49 years	9.2	293	3174866	19805793
Localized	Female	2006	50-54 years	21.4	615	2867859	17224359
Localized	Female	2006	55-59 years	22.8	581	2549195	13307234
Localized	Female	2006	60-64 years	36.2	672	1857877	10654272
Localized	Female	2006	65-69 years	59.3	854	1441194	9409940
Localized	Female	2006	70-74 years	72.5	876	1208529	8725574
Localized	Female	2006	75-79 years	98.7	1071	1084967	7414559
Localized	Female	2006	80-84 years	120.2	1071	890804	4900234
Localized	Female	2006	85+ years	118.5	1012	854042	4259173
Localized	Female	2007	00 years	0.0	0	584192	3794901
Localized	Female	2007	01-04 years	0.0	0	2246312	15191619
Localized	Female	2007	05-09 years	0.0	0	2736193	19919840
Localized	Female	2007	10-14 years	0.0	1	2934295	20056779
Localized	Female	2007	15-19 years	0.1	2	3032629	19819518
Localized	Female	2007	20-24 years	0.3	8	2847203	18257225
Localized	Female	2007	25-29 years	0.7	21	2931022	17722067
Localized	Female	2007	30-34 years	1.3	35	2750285	19511370
Localized	Female	2007	35-39 years	2.2	66	3014397	22179956
Localized	Female	2007	40-44 years	5.5	170	3099894	22479229
Localized	Female	2007	45-49 years	9.5	303	3186705	19805793
Localized	Female	2007	50-54 years	22.5	662	2948400	17224359
Localized	Female	2007	55-59 years	25.1	642	2557235	13307234
Localized	Female	2007	60-64 years	35.0	706	2017874	10654272
Localized	Female	2007	65-69 years	56.9	851	1496313	9409940
Localized	Female	2007	70-74 years	77.0	937	1217432	8725574
Localized	Female	2007	75-79 years	97.3	1045	1074296	7414559
Localized	Female	2007	80-84 years	110.6	987	892143	4900234
Localized	Female	2007	85+ years	117.9	1041	882629	4259173
Localized	Female	2008	00 years	0.0	0	584498	3794901
Localized	Female	2008	01-04 years	0.0	0	2266840	15191619
Localized	Female	2008	05-09 years	0.0	0	2765254	19919840
Localized	Female	2008	10-14 years	0.0	1	2908733	20056779
Localized	Female	2008	15-19 years	0.1	3	3060919	19819518
Localized	Female	2008	20-24 years	0.5	13	2870270	18257225
Localized	Female	2008	25-29 years	0.7	20	2971681	17722067
Localized	Female	2008	30-34 years	1.1	31	2766658	19511370
Localized	Female	2008	35-39 years	2.8	85	2992905	22179956
Localized	Female	2008	40-44 years	5.8	177	3043567	22479229
Localized	Female	2008	45-49 years	8.4	270	3196207	19805793
Localized	Female	2008	50-54 years	22.6	681	3016673	17224359
Localized	Female	2008	55-59 years	25.1	655	2613707	13307234
Localized	Female	2008	60-64 years	31.5	665	2112190	10654272
Localized	Female	2008	65-69 years	55.7	882	1582692	9409940
Localized	Female	2008	70-74 years	75.0	930	1240085	8725574
Localized	Female	2008	75-79 years	96.8	1030	1063806	7414559
Localized	Female	2008	80-84 years	113.7	1014	891766	4900234
Localized	Female	2008	85+ years	118.5	1078	909484	4259173
Localized	Female	2009	00 years	0.0	0	560975	3794901
Localized	Female	2009	01-04 years	0.0	0	2279398	15191619
Localized	Female	2009	05-09 years	0.0	0	2807458	19919840
Localized	Female	2009	10-14 years	0.0	0	2893945	20056779
Localized	Female	2009	15-19 years	0.1	4	3065132	19819518
Localized	Female	2009	20-24 years	0.4	13	2910105	18257225
Localized	Female	2009	25-29 years	1.1	32	2984018	17722067
Localized	Female	2009	30-34 years	1.5	41	2813684	19511370
Localized	Female	2009	35-39 years	2.6	76	2951644	22179956
Localized	Female	2009	40-44 years	5.6	168	2995091	22479229
Localized	Female	2009	45-49 years	10.9	350	3208543	19805793
Localized	Female	2009	50-54 years	22.3	683	3066740	17224359
Localized	Female	2009	55-59 years	25.2	676	2684152	13307234
Localized	Female	2009	60-64 years	32.2	716	2225830	10654272
Localized	Female	2009	65-69 years	50.2	831	1655243	9409940
Localized	Female	2009	70-74 years	67.8	860	1268624	8725574
Localized	Female	2009	75-79 years	91.1	963	1057660	7414559
Localized	Female	2009	80-84 years	106.5	944	886153	4900234
Localized	Female	2009	85+ years	106.4	999	938740	4259173
Localized	Female	2010	00 years	0.0	0	554600	3794901
Localized	Female	2010	01-04 years	0.0	0	2276499	15191619
Localized	Female	2010	05-09 years	0.0	0	2836481	19919840
Localized	Female	2010	10-14 years	0.0	1	2888431	20056779
Localized	Female	2010	15-19 years	0.2	5	3040576	19819518
Localized	Female	2010	20-24 years	0.3	9	2968019	18257225
Localized	Female	2010	25-29 years	0.8	25	2981091	17722067
Localized	Female	2010	30-34 years	1.8	51	2876407	19511370
Localized	Female	2010	35-39 years	3.1	90	2894134	22179956
Localized	Female	2010	40-44 years	6.4	193	2994355	22479229
Localized	Female	2010	45-49 years	10.6	337	3183625	19805793
Localized	Female	2010	50-54 years	22.5	701	3119565	17224359
Localized	Female	2010	55-59 years	24.4	674	2758842	13307234
Localized	Female	2010	60-64 years	30.7	721	2348886	10654272
Localized	Female	2010	65-69 years	48.5	833	1719033	9409940
Localized	Female	2010	70-74 years	67.1	870	1296752	8725574
Localized	Female	2010	75-79 years	79.4	839	1057313	7414559
Localized	Female	2010	80-84 years	96.0	849	884436	4900234
Localized	Female	2010	85+ years	93.4	904	968249	4259173
Localized	Female	2011	00 years	0.0	0	558152	3794901
Localized	Female	2011	01-04 years	0.0	0	2268954	15191619
Localized	Female	2011	05-09 years	0.0	0	2839697	19919840
Localized	Female	2011	10-14 years	0.2	6	2886295	20056779
Localized	Female	2011	15-19 years	0.1	4	2986094	19819518
Localized	Female	2011	20-24 years	0.4	12	3049275	18257225
Localized	Female	2011	25-29 years	1.2	35	2991996	17722067
Localized	Female	2011	30-34 years	1.5	43	2935719	19511370
Localized	Female	2011	35-39 years	2.9	81	2833105	22179956
Localized	Female	2011	40-44 years	5.2	157	3018769	22479229
Localized	Female	2011	45-49 years	9.8	306	3127661	19805793
Localized	Female	2011	50-54 years	22.1	696	3150547	17224359
Localized	Female	2011	55-59 years	21.9	619	2828851	13307234
Localized	Female	2011	60-64 years	29.2	720	2463662	10654272
Localized	Female	2011	65-69 years	46.4	825	1779537	9409940
Localized	Female	2011	70-74 years	62.5	835	1335718	8725574
Localized	Female	2011	75-79 years	78.1	831	1064205	7414559
Localized	Female	2011	80-84 years	95.4	841	881961	4900234
Localized	Female	2011	85+ years	97.4	966	991326	4259173
Localized	Female	2012	00 years	0.0	0	550728	3794901
Localized	Female	2012	01-04 years	0.0	0	2253959	15191619
Localized	Female	2012	05-09 years	0.0	0	2861060	19919840
Localized	Female	2012	10-14 years	0.1	2	2872004	20056779
Localized	Female	2012	15-19 years	0.5	14	2948312	19819518
Localized	Female	2012	20-24 years	0.6	19	3110629	18257225
Localized	Female	2012	25-29 years	1.3	40	2997216	17722067
Localized	Female	2012	30-34 years	1.9	56	2987276	19511370
Localized	Female	2012	35-39 years	3.0	86	2822632	22179956
Localized	Female	2012	40-44 years	5.8	174	3020449	22479229
Localized	Female	2012	45-49 years	9.8	302	3073502	19805793
Localized	Female	2012	50-54 years	22.6	715	3158654	17224359
Localized	Female	2012	55-59 years	21.0	611	2905442	13307234
Localized	Female	2012	60-64 years	29.0	716	2473130	10654272
Localized	Female	2012	65-69 years	42.9	829	1931510	9409940
Localized	Female	2012	70-74 years	60.4	840	1390723	8725574
Localized	Female	2012	75-79 years	82.0	882	1075643	7414559
Localized	Female	2012	80-84 years	94.0	825	877733	4900234
Localized	Female	2012	85+ years	90.1	916	1016347	4259173
Localized	Female	2013	00 years	0.0	0	550848	3794901
Localized	Female	2013	01-04 years	0.0	0	2233593	15191619
Localized	Female	2013	05-09 years	0.0	1	2876058	19919840
Localized	Female	2013	10-14 years	0.1	3	2867962	20056779
Localized	Female	2013	15-19 years	0.3	10	2920567	19819518
Localized	Female	2013	20-24 years	0.6	19	3137393	18257225
Localized	Female	2013	25-29 years	0.8	25	3021622	17722067
Localized	Female	2013	30-34 years	1.8	56	3034696	19511370
Localized	Female	2013	35-39 years	2.5	70	2835615	22179956
Localized	Female	2013	40-44 years	5.7	171	3001649	22479229
Localized	Female	2013	45-49 years	10.5	317	3019315	19805793
Localized	Female	2013	50-54 years	21.1	667	3163431	17224359
Localized	Female	2013	55-59 years	22.1	654	2964547	13307234
Localized	Female	2013	60-64 years	28.9	730	2522786	10654272
Localized	Female	2013	65-69 years	42.1	851	2023066	9409940
Localized	Female	2013	70-74 years	56.0	825	1472128	8725574
Localized	Female	2013	75-79 years	75.7	833	1100108	7414559
Localized	Female	2013	80-84 years	96.5	842	872777	4900234
Localized	Female	2013	85+ years	84.3	872	1034550	4259173
Localized	Female	2014	00 years	0.0	0	550782	3794901
Localized	Female	2014	01-04 years	0.0	0	2231897	15191619
Localized	Female	2014	05-09 years	0.0	1	2866569	19919840
Localized	Female	2014	10-14 years	0.3	10	2870277	20056779
Localized	Female	2014	15-19 years	0.5	15	2897244	19819518
Localized	Female	2014	20-24 years	0.7	22	3145467	18257225
Localized	Female	2014	25-29 years	1.1	33	3080374	17722067
Localized	Female	2014	30-34 years	2.2	68	3067529	19511370
Localized	Female	2014	35-39 years	3.6	103	2869763	22179956
Localized	Female	2014	40-44 years	5.4	161	2960975	22479229
Localized	Female	2014	45-49 years	10.4	310	2980244	19805793
Localized	Female	2014	50-54 years	24.4	773	3168356	17224359
Localized	Female	2014	55-59 years	23.8	714	3005194	13307234
Localized	Female	2014	60-64 years	28.7	744	2588425	10654272
Localized	Female	2014	65-69 years	43.5	924	2124217	9409940
Localized	Female	2014	70-74 years	53.1	818	1539053	8725574
Localized	Female	2014	75-79 years	70.0	792	1131035	7414559
Localized	Female	2014	80-84 years	86.7	754	869447	4900234
Localized	Female	2014	85+ years	78.2	823	1052322	4259173
Regional	Female	2000	00 years	0.0	0	548034	3794901
Regional	Female	2000	01-04 years	0.0	0	2195452	15191619
Regional	Female	2000	05-09 years	0.0	0	2933841	19919840
Regional	Female	2000	10-14 years	0.0	0	2880388	20056779
Regional	Female	2000	15-19 years	0.1	3	2752065	19819518
Regional	Female	2000	20-24 years	0.2	5	2633100	18257225
Regional	Female	2000	25-29 years	0.7	18	2761158	17722067
Regional	Female	2000	30-34 years	1.5	45	2964683	19511370
Regional	Female	2000	35-39 years	2.3	74	3226380	22179956
Regional	Female	2000	40-44 years	4.7	150	3173885	22479229
Regional	Female	2000	45-49 years	8.6	245	2843695	19805793
Regional	Female	2000	50-54 years	16.6	415	2496861	17224359
Regional	Female	2000	55-59 years	26.4	496	1876056	13307234
Regional	Female	2000	60-64 years	42.9	638	1485874	10654272
Regional	Female	2000	65-69 years	59.1	778	1315536	9409940
Regional	Female	2000	70-74 years	82.3	1039	1262258	8725574
Regional	Female	2000	75-79 years	104.9	1180	1125138	7414559
Regional	Female	2000	80-84 years	131.5	1042	792310	4900234
Regional	Female	2000	85+ years	145.3	1098	755524	4259173
Regional	Female	2001	00 years	0.0	0	573225	3794901
Regional	Female	2001	01-04 years	0.0	0	2179050	15191619
Regional	Female	2001	05-09 years	0.0	0	2889200	19919840
Regional	Female	2001	10-14 years	0.1	2	2945487	20056779
Regional	Female	2001	15-19 years	0.1	3	2763336	19819518
Regional	Female	2001	20-24 years	0.2	6	2728766	18257225
Regional	Female	2001	25-29 years	0.7	18	2705390	17722067
Regional	Female	2001	30-34 years	1.2	35	2988624	19511370
Regional	Female	2001	35-39 years	2.5	78	3177357	22179956
Regional	Female	2001	40-44 years	5.0	161	3216684	22479229
Regional	Female	2001	45-49 years	10.9	316	2912119	19805793
Regional	Female	2001	50-54 years	16.2	424	2619352	17224359
Regional	Female	2001	55-59 years	24.6	477	1942931	13307234
Regional	Female	2001	60-64 years	39.5	603	1524996	10654272
Regional	Female	2001	65-69 years	59.5	785	1318960	9409940
Regional	Female	2001	70-74 years	75.6	946	1251372	8725574
Regional	Female	2001	75-79 years	107.9	1214	1125309	7414559
Regional	Female	2001	80-84 years	133.1	1089	818123	4900234
Regional	Female	2001	85+ years	143.1	1095	765071	4259173
Regional	Female	2002	00 years	0.0	0	565467	3794901
Regional	Female	2002	01-04 years	0.0	0	2198741	15191619
Regional	Female	2002	05-09 years	0.0	0	2838476	19919840
Regional	Female	2002	10-14 years	0.1	2	3000772	20056779
Regional	Female	2002	15-19 years	0.1	4	2786093	19819518
Regional	Female	2002	20-24 years	0.2	6	2796999	18257225
Regional	Female	2002	25-29 years	0.8	21	2690291	17722067
Regional	Female	2002	30-34 years	1.0	30	2988227	19511370
Regional	Female	2002	35-39 years	3.2	101	3120622	22179956
Regional	Female	2002	40-44 years	5.2	169	3231673	22479229
Regional	Female	2002	45-49 years	10.0	299	2992091	19805793
Regional	Female	2002	50-54 years	16.7	440	2627578	17224359
Regional	Female	2002	55-59 years	23.7	500	2108282	13307234
Regional	Female	2002	60-64 years	37.3	591	1582611	10654272
Regional	Female	2002	65-69 years	56.8	755	1328517	9409940
Regional	Female	2002	70-74 years	80.4	994	1237007	8725574
Regional	Female	2002	75-79 years	102.5	1150	1122423	7414559
Regional	Female	2002	80-84 years	132.4	1116	843176	4900234
Regional	Female	2002	85+ years	123.6	958	774881	4259173
Regional	Female	2003	00 years	0.0	0	569937	3794901
Regional	Female	2003	01-04 years	0.0	0	2218709	15191619
Regional	Female	2003	05-09 years	0.0	0	2794680	19919840
Regional	Female	2003	10-14 years	0.0	1	3033117	20056779
Regional	Female	2003	15-19 years	0.1	2	2823788	19819518
Regional	Female	2003	20-24 years	0.2	6	2843890	18257225
Regional	Female	2003	25-29 years	0.7	19	2704633	17722067
Regional	Female	2003	30-34 years	1.3	38	2964921	19511370
Regional	Female	2003	35-39 years	3.0	92	3065864	22179956
Regional	Female	2003	40-44 years	5.6	180	3242689	22479229
Regional	Female	2003	45-49 years	9.2	282	3057376	19805793
Regional	Female	2003	50-54 years	16.8	449	2679682	17224359
Regional	Female	2003	55-59 years	24.3	537	2206031	13307234
Regional	Female	2003	60-64 years	35.1	586	1670693	10654272
Regional	Female	2003	65-69 years	55.2	748	1354029	9409940
Regional	Female	2003	70-74 years	74.1	907	1224180	8725574
Regional	Female	2003	75-79 years	102.7	1149	1118748	7414559
Regional	Female	2003	80-84 years	123.3	1062	861296	4900234
Regional	Female	2003	85+ years	126.8	1003	790792	4259173
Regional	Female	2004	00 years	0.0	0	574259	3794901
Regional	Female	2004	01-04 years	0.0	0	2240463	15191619
Regional	Female	2004	05-09 years	0.0	0	2757693	19919840
Regional	Female	2004	10-14 years	0.0	0	3038566	20056779
Regional	Female	2004	15-19 years	0.1	2	2874577	19819518
Regional	Female	2004	20-24 years	0.3	10	2866267	18257225
Regional	Female	2004	25-29 years	0.6	17	2748987	17722067
Regional	Female	2004	30-34 years	1.5	45	2916991	19511370
Regional	Female	2004	35-39 years	3.0	89	3015731	22179956
Regional	Female	2004	40-44 years	5.8	189	3253984	22479229
Regional	Female	2004	45-49 years	9.7	300	3101419	19805793
Regional	Female	2004	50-54 years	17.1	468	2742842	17224359
Regional	Female	2004	55-59 years	22.6	523	2315943	13307234
Regional	Female	2004	60-64 years	33.2	578	1740347	10654272
Regional	Female	2004	65-69 years	53.8	744	1381841	9409940
Regional	Female	2004	70-74 years	71.5	867	1212040	8725574
Regional	Female	2004	75-79 years	89.1	984	1104912	7414559
Regional	Female	2004	80-84 years	112.6	991	880359	4900234
Regional	Female	2004	85+ years	124.0	994	801609	4259173
Regional	Female	2005	00 years	0.0	0	555029	3794901
Regional	Female	2005	01-04 years	0.0	0	2195086	15191619
Regional	Female	2005	05-09 years	0.0	0	2652390	19919840
Regional	Female	2005	10-14 years	0.0	0	2930377	20056779
Regional	Female	2005	15-19 years	0.1	3	2851892	19819518
Regional	Female	2005	20-24 years	0.3	9	2770261	18257225
Regional	Female	2005	25-29 years	0.9	24	2732159	17722067
Regional	Female	2005	30-34 years	1.8	50	2773631	19511370
Regional	Female	2005	35-39 years	2.8	83	2933283	22179956
Regional	Female	2005	40-44 years	5.5	173	3137646	22479229
Regional	Female	2005	45-49 years	9.2	282	3060955	19805793
Regional	Female	2005	50-54 years	15.8	430	2727068	17224359
Regional	Female	2005	55-59 years	22.0	522	2370116	13307234
Regional	Female	2005	60-64 years	31.2	546	1748116	10654272
Regional	Female	2005	65-69 years	52.1	712	1367622	9409940
Regional	Female	2005	70-74 years	65.2	765	1173159	8725574
Regional	Female	2005	75-79 years	89.9	958	1065371	7414559
Regional	Female	2005	80-84 years	109.5	950	867643	4900234
Regional	Female	2005	85+ years	117.6	949	806910	4259173
Regional	Female	2006	00 years	0.0	0	567144	3794901
Regional	Female	2006	01-04 years	0.0	0	2242688	15191619
Regional	Female	2006	05-09 years	0.0	0	2723493	19919840
Regional	Female	2006	10-14 years	0.0	1	2970163	20056779
Regional	Female	2006	15-19 years	0.1	4	2984788	19819518
Regional	Female	2006	20-24 years	0.4	11	2840625	18257225
Regional	Female	2006	25-29 years	0.9	25	2879323	17722067
Regional	Female	2006	30-34 years	2.4	67	2769626	19511370
Regional	Female	2006	35-39 years	2.5	76	3018805	22179956
Regional	Female	2006	40-44 years	5.7	181	3160163	22479229
Regional	Female	2006	45-49 years	10.1	322	3174866	19805793
Regional	Female	2006	50-54 years	15.6	447	2867859	17224359
Regional	Female	2006	55-59 years	23.4	597	2549195	13307234
Regional	Female	2006	60-64 years	31.5	585	1857877	10654272
Regional	Female	2006	65-69 years	50.1	722	1441194	9409940
Regional	Female	2006	70-74 years	66.4	803	1208529	8725574
Regional	Female	2006	75-79 years	85.2	924	1084967	7414559
Regional	Female	2006	80-84 years	114.7	1022	890804	4900234
Regional	Female	2006	85+ years	108.8	929	854042	4259173
Regional	Female	2007	00 years	0.0	0	584192	3794901
Regional	Female	2007	01-04 years	0.0	0	2246312	15191619
Regional	Female	2007	05-09 years	0.0	0	2736193	19919840
Regional	Female	2007	10-14 years	0.0	0	2934295	20056779
Regional	Female	2007	15-19 years	0.0	1	3032629	19819518
Regional	Female	2007	20-24 years	0.2	5	2847203	18257225
Regional	Female	2007	25-29 years	0.9	27	2931022	17722067
Regional	Female	2007	30-34 years	1.6	43	2750285	19511370
Regional	Female	2007	35-39 years	3.5	106	3014397	22179956
Regional	Female	2007	40-44 years	6.3	196	3099894	22479229
Regional	Female	2007	45-49 years	10.3	329	3186705	19805793
Regional	Female	2007	50-54 years	17.6	519	2948400	17224359
Regional	Female	2007	55-59 years	22.5	575	2557235	13307234
Regional	Female	2007	60-64 years	32.0	646	2017874	10654272
Regional	Female	2007	65-69 years	47.0	703	1496313	9409940
Regional	Female	2007	70-74 years	62.6	762	1217432	8725574
Regional	Female	2007	75-79 years	83.2	894	1074296	7414559
Regional	Female	2007	80-84 years	99.5	888	892143	4900234
Regional	Female	2007	85+ years	108.3	956	882629	4259173
Regional	Female	2008	00 years	0.2	1	584498	3794901
Regional	Female	2008	01-04 years	0.0	0	2266840	15191619
Regional	Female	2008	05-09 years	0.0	0	2765254	19919840
Regional	Female	2008	10-14 years	0.0	1	2908733	20056779
Regional	Female	2008	15-19 years	0.1	4	3060919	19819518
Regional	Female	2008	20-24 years	0.2	5	2870270	18257225
Regional	Female	2008	25-29 years	0.5	14	2971681	17722067
Regional	Female	2008	30-34 years	1.8	49	2766658	19511370
Regional	Female	2008	35-39 years	4.1	123	2992905	22179956
Regional	Female	2008	40-44 years	5.5	166	3043567	22479229
Regional	Female	2008	45-49 years	9.1	292	3196207	19805793
Regional	Female	2008	50-54 years	17.3	523	3016673	17224359
Regional	Female	2008	55-59 years	22.3	582	2613707	13307234
Regional	Female	2008	60-64 years	26.9	568	2112190	10654272
Regional	Female	2008	65-69 years	40.9	648	1582692	9409940
Regional	Female	2008	70-74 years	58.9	731	1240085	8725574
Regional	Female	2008	75-79 years	83.1	884	1063806	7414559
Regional	Female	2008	80-84 years	104.1	928	891766	4900234
Regional	Female	2008	85+ years	111.5	1014	909484	4259173
Regional	Female	2009	00 years	0.0	0	560975	3794901
Regional	Female	2009	01-04 years	0.0	0	2279398	15191619
Regional	Female	2009	05-09 years	0.0	0	2807458	19919840
Regional	Female	2009	10-14 years	0.0	1	2893945	20056779
Regional	Female	2009	15-19 years	0.0	1	3065132	19819518
Regional	Female	2009	20-24 years	0.2	7	2910105	18257225
Regional	Female	2009	25-29 years	0.6	19	2984018	17722067
Regional	Female	2009	30-34 years	1.5	41	2813684	19511370
Regional	Female	2009	35-39 years	3.5	102	2951644	22179956
